|6.6.6
Archiving\03_Data\fracLP/QFM_m1/GRV/GRV_4.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         Sp(TH),m3     
  2000.00        500.000                 NaN
  1997.49        500.000                 NaN
  1994.99        500.000                 NaN
  1992.48        500.000                 NaN
  1989.97        500.000                 NaN
  1987.47        500.000                 NaN
  1984.96        500.000                 NaN
  1982.46        500.000                 NaN
  1979.95        500.000                 NaN
  1977.44        500.000                 NaN
  1974.94        500.000                 NaN
  1972.43        500.000                 NaN
  1969.92        500.000                 NaN
  1967.42        500.000                 NaN
  1964.91        500.000                 NaN
  1962.41        500.000                 NaN
  1959.90        500.000                 NaN
  1957.39        500.000                 NaN
  1954.89        500.000                 NaN
  1952.38        500.000                 NaN
  1949.87        500.000                 NaN
  1947.37        500.000                 NaN
  1944.86        500.000                 NaN
  1942.36        500.000                 NaN
  1939.85        500.000                 NaN
  1937.34        500.000                 NaN
  1934.84        500.000                 NaN
  1932.33        500.000                 NaN
  1929.82        500.000                 NaN
  1927.32        500.000                 NaN
  1924.81        500.000                 NaN
  1922.31        500.000                 NaN
  1919.80        500.000                 NaN
  1917.29        500.000                 NaN
  1914.79        500.000                 NaN
  1912.28        500.000                 NaN
  1909.77        500.000                 NaN
  1907.27        500.000                 NaN
  1904.76        500.000                 NaN
  1902.26        500.000                 NaN
  1899.75        500.000                 NaN
  1897.24        500.000                 NaN
  1894.74        500.000                 NaN
  1892.23        500.000                 NaN
  1889.72        500.000                 NaN
  1887.22        500.000                 NaN
  1884.71        500.000                 NaN
  1882.21        500.000                 NaN
  1879.70        500.000                 NaN
  1877.19        500.000                 NaN
  1874.69        500.000                 NaN
  1872.18        500.000                 NaN
  1869.67        500.000                 NaN
  1867.17        500.000                 NaN
  1864.66        500.000                 NaN
  1862.16        500.000                 NaN
  1859.65        500.000                 NaN
  1857.14        500.000                 NaN
  1854.64        500.000                 NaN
  1852.13        500.000                 NaN
  1849.62        500.000                 NaN
  1847.12        500.000                 NaN
  1844.61        500.000                 NaN
  1842.11        500.000                 NaN
  1839.60        500.000                 NaN
  1837.09        500.000                 NaN
  1834.59        500.000                 NaN
  1832.08        500.000                 NaN
  1829.57        500.000                 NaN
  1827.07        500.000                 NaN
  1824.56        500.000                 NaN
  1822.06        500.000                 NaN
  1819.55        500.000                 NaN
  1817.04        500.000                 NaN
  1814.54        500.000                 NaN
  1812.03        500.000       0.181871E-003
  1809.52        500.000       0.387907E-003
  1807.02        500.000       0.384594E-003
  1804.51        500.000       0.382492E-003
  1802.01        500.000       0.381440E-003
  1799.50        500.000       0.374301E-003
  1796.99        500.000       0.372854E-003
  1794.49        500.000       0.370276E-003
  1791.98        500.000       0.368077E-003
  1789.47        500.000       0.365408E-003
  1786.97        500.000       0.361024E-003
  1784.46        500.000       0.359127E-003
  1781.95        500.000       0.356505E-003
  1779.45        500.000       0.353627E-003
  1776.94        500.000       0.354870E-003
  1774.44        500.000       0.345027E-003
  1771.93        500.000       0.345581E-003
  1769.42        500.000       0.342259E-003
  1766.92        500.000       0.340793E-003
  1764.41        500.000       0.337117E-003
  1761.90        500.000       0.334970E-003
  1759.40        500.000       0.332009E-003
  1756.89        500.000       0.329457E-003
  1754.39        500.000       0.327403E-003
  1751.88        500.000       0.323894E-003
  1749.37        500.000       0.314536E-003
  1746.87        500.000       0.260146E-003
  1744.36        500.000       0.355494E-003
  1741.85        500.000       0.304114E-003
  1739.35        500.000       0.302237E-003
  1736.84        500.000       0.300554E-003
  1734.34        500.000       0.297118E-003
  1731.83        500.000       0.295738E-003
  1729.32        500.000       0.290781E-003
  1726.82        500.000       0.290272E-003
  1724.31        500.000       0.288780E-003
  1721.80        500.000       0.284846E-003
  1719.30        500.000       0.283829E-003
  1716.79        500.000       0.281097E-003
  1714.29        500.000       0.917237E-004
  1711.78        500.000       0.464096E-003
  1709.27        500.000       0.275066E-003
  1706.77        500.000       0.272462E-003
  1704.26        500.000       0.271087E-003
  1701.75        500.000       0.744321E-003
  1699.25        500.000                 NaN
  1696.74        500.000       0.496307E-004
  1694.24        500.000       0.142903E-003
  1691.73        500.000       0.384885E-003
  1689.22        500.000       0.257027E-003
  1686.72        500.000       0.251460E-003
  1684.21        500.000       0.256654E-003
  1681.70        500.000       0.253344E-003
  1679.20        500.000       0.246647E-003
  1676.69        500.000       0.246768E-003
  1674.19        500.000       0.244316E-003
  1671.68        500.000       0.242423E-003
  1669.17        500.000       0.240156E-003
  1666.67        500.000       0.239446E-003
  1664.16        500.000       0.235332E-003
  1661.65        500.000       0.234440E-003
  1659.15        500.000       0.233055E-003
  1656.64        500.000       0.229772E-003
  1654.14        500.000       0.554853E-003
  1651.63        500.000       0.516279E-004
  1649.12        500.000       0.720175E-004
  1646.62        500.000       0.230545E-003
  1644.11        500.000       0.211152E-003
  1641.60        500.000       0.217277E-003
  1639.10        500.000       0.356109E-003
  1636.59        500.000       0.819059E-004
  1634.09        500.000       0.202608E-003
  1631.58        500.000       0.209674E-003
  1629.07        500.000       0.207183E-003
  1626.57        500.000       0.206067E-003
  1624.06        500.000       0.202519E-003
  1621.55        500.000       0.113674E-003
  1619.05        500.000       0.160552E-003
  1616.54        500.000       0.246552E-004
  1614.04        500.000       0.589232E-004
  1611.53        500.000       0.641095E-004
  1609.02        500.000       0.605533E-004
  1606.52        500.000       0.630993E-004
  1604.01        500.000       0.489136E-004
  1601.50        500.000       0.449700E-004
  1599.00        500.000       0.416236E-004
  1596.49        500.000       0.382893E-004
  1593.98        500.000       0.331285E-004
  1591.48        500.000       0.294753E-004
  1588.97        500.000       0.275515E-004
  1586.47        500.000       0.230455E-004
  1583.96        500.000       0.197108E-004
  1581.45        500.000       0.177024E-004
  1578.95        500.000       0.144410E-004
  1576.44        500.000       0.116417E-004
  1573.93        500.000       0.926724E-005
  1571.43        500.000       0.748207E-005
  1568.92        500.000       0.429484E-005
  1566.42        500.000       0.226754E-005
  1563.91        500.000       0.892528E-005
  1561.40        500.000       0.615299E-005
  1558.90        500.000                 NaN
  1556.39        500.000       0.203799E-004
  1553.88        500.000                 NaN
  1551.38        500.000       0.343921E-004
  1548.87        500.000                 NaN
  1546.37        500.000                 NaN
  1543.86        500.000                 NaN
  1541.35        500.000                 NaN
  1538.85        500.000                 NaN
  1536.34        500.000                 NaN
  1533.83        500.000                 NaN
  1531.33        500.000                 NaN
  1528.82        500.000                 NaN
  1526.32        500.000                 NaN
  1523.81        500.000                 NaN
  1521.30        500.000       0.205242E-004
  1518.80        500.000       0.786836E-004
  1516.29        500.000       0.121128E-003
  1513.78        500.000       0.113502E-003
  1511.28        500.000       0.105980E-003
  1508.77        500.000       0.368057E-004
  1506.27        500.000       0.241748E-004
  1503.76        500.000       0.189566E-004
  1501.25        500.000       0.154544E-004
  1498.75        500.000       0.104616E-004
  1496.24        500.000       0.727477E-005
  1493.73        500.000       0.410155E-005
  1491.23        500.000       0.118017E-005
  1488.72        500.000       0.258222E-005
  1486.22        500.000                 NaN
  1483.71        500.000                 NaN
  1481.20        500.000                 NaN
  1478.70        500.000                 NaN
  1476.19        500.000                 NaN
