T(K)	P(bar)	SiO2	TiO2	Al2O3	Cr2O3	FeO	MnO	MgO	CaO	Na2O	K2O	NiO
  1686.72      500.000     0.810532     0.676131E-02 0.516817E-01 0.464409E-02 0.241054     0.733045E-02 0.487284     0.113594     0.774456E-02 0.212323E-03 0.401644E-03
  1684.21      500.000     0.810532     0.676129E-02 0.516718E-01 0.458629E-02 0.241004     0.733045E-02 0.487258     0.113594     0.774456E-02 0.212323E-03 0.401644E-03
  1681.70      500.000     0.810532     0.676127E-02 0.516617E-01 0.452892E-02 0.240954     0.733045E-02 0.487231     0.113594     0.774456E-02 0.212323E-03 0.401644E-03
  1679.20      500.000     0.810532     0.676124E-02 0.516518E-01 0.447228E-02 0.240904     0.733045E-02 0.487206     0.113594     0.774456E-02 0.212323E-03 0.401644E-03
  1676.69      500.000     0.810532     0.676122E-02 0.516418E-01 0.441607E-02 0.240855     0.733045E-02 0.487180     0.113594     0.774456E-02 0.212323E-03 0.401644E-03
  1674.19      500.000     0.810532     0.676119E-02 0.516318E-01 0.436038E-02 0.240805     0.733045E-02 0.487155     0.113594     0.774456E-02 0.212323E-03 0.401644E-03
  1671.68      500.000     0.810532     0.676117E-02 0.516219E-01 0.430526E-02 0.240757     0.733045E-02 0.487129     0.113594     0.774456E-02 0.212323E-03 0.401644E-03
  1669.17      500.000     0.810532     0.676114E-02 0.516120E-01 0.425059E-02 0.240708     0.733045E-02 0.487105     0.113594     0.774456E-02 0.212323E-03 0.401644E-03
  1666.67      500.000     0.810532     0.676111E-02 0.516021E-01 0.419648E-02 0.240660     0.733045E-02 0.487080     0.113594     0.774456E-02 0.212323E-03 0.401644E-03
  1664.16      500.000     0.810532     0.676109E-02 0.515922E-01 0.414283E-02 0.240613     0.733045E-02 0.487056     0.113594     0.774456E-02 0.212323E-03 0.401644E-03
  1661.65      500.000     0.810532     0.676106E-02 0.515822E-01 0.408974E-02 0.240565     0.733045E-02 0.487031     0.113594     0.774456E-02 0.212323E-03 0.401644E-03
  1659.15      500.000     0.800015     0.676103E-02 0.515717E-01 0.403383E-02 0.239107      0.00000     0.482231     0.113594     0.774456E-02 0.212323E-03  0.00000    
  1656.64      500.000     0.800015     0.676101E-02 0.515619E-01 0.398173E-02 0.239060      0.00000     0.482208     0.113594     0.774456E-02 0.212323E-03  0.00000    
  1654.14      500.000     0.800015     0.676098E-02 0.515519E-01 0.393006E-02 0.239014      0.00000     0.482184     0.113594     0.774456E-02 0.212323E-03  0.00000    
  1651.63      500.000     0.800015     0.676095E-02 0.515420E-01 0.387917E-02 0.238968      0.00000     0.482161     0.113594     0.774456E-02 0.212323E-03  0.00000    
  1649.12      500.000     0.800015     0.676093E-02 0.515322E-01 0.382858E-02 0.238922      0.00000     0.482138     0.113594     0.774456E-02 0.212323E-03  0.00000    
  1646.62      500.000     0.800015     0.676090E-02 0.515225E-01 0.377858E-02 0.238877      0.00000     0.482116     0.113594     0.774456E-02 0.212323E-03  0.00000    
  1644.11      500.000     0.800015     0.676087E-02 0.515127E-01 0.372906E-02 0.238831      0.00000     0.482093     0.113594     0.774456E-02 0.212323E-03  0.00000    
  1641.60      500.000     0.800015     0.676085E-02 0.515029E-01 0.367987E-02 0.238787      0.00000     0.482071     0.113594     0.774456E-02 0.212323E-03  0.00000    
  1639.10      500.000     0.798539     0.676082E-02 0.514930E-01 0.363050E-02 0.238060      0.00000     0.479778     0.113594     0.774456E-02 0.212323E-03  0.00000    
  1636.59      500.000     0.794263     0.676079E-02 0.514827E-01 0.357932E-02 0.236031      0.00000     0.473186     0.113594     0.774456E-02 0.212323E-03  0.00000    
  1634.09      500.000     0.790029     0.676076E-02 0.514724E-01 0.352883E-02 0.234005      0.00000     0.466674     0.113594     0.774456E-02 0.212323E-03  0.00000    
  1631.58      500.000     0.785813     0.676073E-02 0.514621E-01 0.347866E-02 0.231982      0.00000     0.460196     0.113594     0.774456E-02 0.212323E-03  0.00000    
  1629.07      500.000     0.781650     0.676070E-02 0.514518E-01 0.342922E-02 0.229978      0.00000     0.453807     0.113594     0.774456E-02 0.212323E-03  0.00000    
  1626.57      500.000     0.777387     0.676067E-02 0.514412E-01 0.337870E-02 0.227913      0.00000     0.447277     0.113594     0.774456E-02 0.212323E-03  0.00000    
