T(K)	P(bar)	SiO2	TiO2	Al2O3	Cr2O3	FeO	MnO	MgO	CaO	Na2O	K2O	NiO
  1807.02      500.000     0.800546     0.225377E-02 0.179479E-01 0.683744E-02 0.236620     0.634366E-02 0.662463     0.745404E-01 0.484035E-02 0.106162E-03  0.00000    
  1804.51      500.000     0.800546     0.225377E-02 0.179460E-01 0.676431E-02 0.236566     0.634366E-02 0.662426     0.745404E-01 0.484035E-02 0.106162E-03  0.00000    
  1802.01      500.000     0.800546     0.225377E-02 0.179440E-01 0.669247E-02 0.236513     0.634366E-02 0.662391     0.745404E-01 0.484035E-02 0.106162E-03  0.00000    
  1799.50      500.000     0.800546     0.225376E-02 0.179421E-01 0.662080E-02 0.236460     0.634366E-02 0.662355     0.745404E-01 0.484035E-02 0.106162E-03  0.00000    
  1796.99      500.000     0.800546     0.225376E-02 0.179401E-01 0.654973E-02 0.236407     0.634366E-02 0.662320     0.745404E-01 0.484035E-02 0.106162E-03  0.00000    
  1794.49      500.000     0.800546     0.225375E-02 0.179382E-01 0.647865E-02 0.236354     0.634366E-02 0.662285     0.745404E-01 0.484035E-02 0.106162E-03  0.00000    
  1791.98      500.000     0.800546     0.225375E-02 0.179363E-01 0.640934E-02 0.236302     0.634366E-02 0.662250     0.745404E-01 0.484035E-02 0.106162E-03  0.00000    
  1789.47      500.000     0.800546     0.225375E-02 0.179344E-01 0.633996E-02 0.236250     0.634366E-02 0.662216     0.745404E-01 0.484035E-02 0.106162E-03  0.00000    
  1786.97      500.000     0.800546     0.225374E-02 0.179324E-01 0.627117E-02 0.236198     0.634366E-02 0.662182     0.745404E-01 0.484035E-02 0.106162E-03  0.00000    
  1784.46      500.000     0.800546     0.225374E-02 0.179305E-01 0.620298E-02 0.236146     0.634366E-02 0.662149     0.745404E-01 0.484035E-02 0.106162E-03  0.00000    
  1781.95      500.000     0.800546     0.225373E-02 0.179286E-01 0.613529E-02 0.236095     0.634366E-02 0.662116     0.745404E-01 0.484035E-02 0.106162E-03  0.00000    
  1779.45      500.000     0.800546     0.225373E-02 0.179267E-01 0.606827E-02 0.236044     0.634366E-02 0.662083     0.745404E-01 0.484035E-02 0.106162E-03  0.00000    
  1776.94      500.000     0.800546     0.225373E-02 0.179248E-01 0.600163E-02 0.235994     0.634366E-02 0.662050     0.745404E-01 0.484035E-02 0.106162E-03  0.00000    
  1774.44      500.000     0.800546     0.225372E-02 0.179228E-01 0.593570E-02 0.235944     0.634366E-02 0.662018     0.745404E-01 0.484035E-02 0.106162E-03  0.00000    
  1771.93      500.000     0.800546     0.225372E-02 0.179209E-01 0.587027E-02 0.235894     0.634366E-02 0.661986     0.745404E-01 0.484035E-02 0.106162E-03  0.00000    
  1769.42      500.000     0.800546     0.225371E-02 0.179190E-01 0.580537E-02 0.235844     0.634366E-02 0.661954     0.745404E-01 0.484035E-02 0.106162E-03  0.00000    
  1766.92      500.000     0.800546     0.225371E-02 0.179171E-01 0.574103E-02 0.235795     0.634366E-02 0.661922     0.745404E-01 0.484035E-02 0.106162E-03  0.00000    
  1764.41      500.000     0.800546     0.225370E-02 0.179152E-01 0.567725E-02 0.235746     0.634366E-02 0.661891     0.745404E-01 0.484035E-02 0.106162E-03  0.00000    
  1761.90      500.000     0.800546     0.225370E-02 0.179132E-01 0.561336E-02 0.235697     0.634366E-02 0.661860     0.745404E-01 0.484035E-02 0.106162E-03  0.00000    
  1759.40      500.000     0.800546     0.225370E-02 0.179113E-01 0.555087E-02 0.235648     0.634366E-02 0.661829     0.745404E-01 0.484035E-02 0.106162E-03  0.00000    
  1756.89      500.000     0.792859     0.225369E-02 0.179094E-01 0.548914E-02 0.235125      0.00000     0.659589     0.745404E-01 0.484035E-02 0.106162E-03  0.00000    
  1754.39      500.000     0.788579     0.225369E-02 0.179074E-01 0.542736E-02 0.233554      0.00000     0.652522     0.745404E-01 0.484035E-02 0.106162E-03  0.00000    
  1751.88      500.000     0.784336     0.225368E-02 0.179056E-01 0.536670E-02 0.231986      0.00000     0.645526     0.745404E-01 0.484035E-02 0.106162E-03  0.00000    
  1749.37      500.000     0.777755     0.225367E-02 0.179024E-01 0.527326E-02 0.229545      0.00000     0.634687     0.745404E-01 0.484035E-02 0.106162E-03  0.00000    
  1746.87      500.000     0.775834     0.225367E-02 0.179016E-01 0.524644E-02 0.228825      0.00000     0.631532     0.745404E-01 0.484035E-02 0.106162E-03  0.00000    
  1744.36      500.000     0.771571     0.225367E-02 0.178997E-01 0.518700E-02 0.227216      0.00000     0.624541     0.745404E-01 0.484035E-02 0.106162E-03  0.00000    
