|6.6.6
Archiving\03_Data\fracLP/QFM_m3.5/YM20/YM20_6.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  2000.00        500.000        5145.98     
  1997.49        500.000        5146.73     
  1994.99        500.000        5147.49     
  1992.48        500.000        5148.24     
  1989.97        500.000        5149.00     
  1987.47        500.000        5149.75     
  1984.96        500.000        5150.50     
  1982.46        500.000        5151.26     
  1979.95        500.000        5152.01     
  1977.44        500.000        5152.76     
  1974.94        500.000        5153.51     
  1972.43        500.000        5154.26     
  1969.92        500.000        5155.01     
  1967.42        500.000        5155.76     
  1964.91        500.000        5156.51     
  1962.41        500.000        5157.26     
  1959.90        500.000        5158.01     
  1957.39        500.000        5158.76     
  1954.89        500.000        5159.51     
  1952.38        500.000        5160.26     
  1949.87        500.000        5161.00     
  1947.37        500.000        5161.75     
  1944.86        500.000        5162.50     
  1942.36        500.000        5163.24     
  1939.85        500.000        5163.99     
  1937.34        500.000        5164.74     
  1934.84        500.000        5165.48     
  1932.33        500.000        5166.22     
  1929.82        500.000        5166.97     
  1927.32        500.000        5167.71     
  1924.81        500.000        5168.46     
  1922.31        500.000        5169.20     
  1919.80        500.000        5169.94     
  1917.29        500.000        5170.68     
  1914.79        500.000        5171.42     
  1912.28        500.000        5172.17     
  1909.77        500.000        5172.91     
  1907.27        500.000        5173.65     
  1904.76        500.000        5174.39     
  1902.26        500.000        5175.13     
  1899.75        500.000        5175.87     
  1897.24        500.000        5176.60     
  1894.74        500.000        4721.93     
  1892.23        500.000        3157.94     
  1889.72        500.000        2901.88     
  1887.22        500.000        2902.41     
  1884.71        500.000        2902.98     
  1882.21        500.000        3155.47     
  1879.70        500.000        3156.22     
  1877.19        500.000        3158.63     
  1874.69        500.000        3159.93     
  1872.18        500.000        3161.15     
  1869.67        500.000        3163.16     
  1867.17        500.000        3164.34     
  1864.66        500.000        3166.02     
  1862.16        500.000        3167.74     
  1859.65        500.000        3169.20     
  1857.14        500.000        3170.45     
  1854.64        500.000        3185.32     
  1852.13        500.000        3196.70     
  1849.62        500.000        3198.11     
  1847.12        500.000        3199.86     
  1844.61        500.000        3201.49     
  1842.11        500.000        3202.99     
  1839.60        500.000        3205.19     
  1837.09        500.000        3206.38     
  1834.59        500.000        3208.73     
  1832.08        500.000        3210.02     
  1829.57        500.000        3211.39     
  1827.07        500.000        3212.80     
  1824.56        500.000        3214.67     
  1822.06        500.000        3216.23     
  1819.55        500.000        3217.48     
  1817.04        500.000        3219.22     
  1814.54        500.000        3222.61     
  1812.03        500.000        3222.67     
  1809.52        500.000        3224.39     
  1807.02        500.000        3226.24     
  1804.51        500.000        3227.54     
  1802.01        500.000        3229.42     
  1799.50        500.000        3234.71     
  1796.99        500.000        3222.84     
  1794.49        500.000        3234.17     
  1791.98        500.000        3235.69     
  1789.47        500.000        3237.50     
  1786.97        500.000        3239.16     
  1784.46        500.000        3240.70     
  1781.95        500.000        3242.29     
  1779.45        500.000        3243.73     
  1776.94        500.000        3245.09     
  1774.44        500.000        3247.31     
  1771.93        500.000        3248.54     
  1769.42        500.000        3250.39     
  1766.92        500.000        3250.33     
  1764.41        500.000        3253.35     
  1761.90        500.000        3255.72     
  1759.40        500.000        3256.77     
  1756.89        500.000        3258.78     
  1754.39        500.000        3261.57     
  1751.88        500.000        3261.56     
  1749.37        500.000        3262.89     
  1746.87        500.000        3264.87     
  1744.36        500.000        3267.65     
  1741.85        500.000        3269.12     
  1739.35        500.000        3269.31     
  1736.84        500.000        3271.68     
  1734.34        500.000        3273.00     
  1731.83        500.000        3274.81     
  1729.32        500.000        3276.46     
  1726.82        500.000        3278.11     
  1724.31        500.000        3279.78     
  1721.80        500.000        3281.38     
  1719.30        500.000        3282.97     
  1716.79        500.000        3284.56     
  1714.29        500.000        3287.00     
  1711.78        500.000        3287.25     
  1709.27        500.000        3289.12     
  1706.77        500.000        3290.73     
  1704.26        500.000        3291.63     
  1701.75        500.000        3294.19     
  1699.25        500.000        3295.90     
  1696.74        500.000        3297.66     
  1694.24        500.000        3299.14     
  1691.73        500.000        3302.38     
  1689.22        500.000        3301.68     
  1686.72        500.000        3304.75     
  1684.21        500.000        3305.27     
  1681.70        500.000        3306.14     
  1679.20        500.000        3308.63     
  1676.69        500.000        3309.91     
  1674.19        500.000        3311.09     
  1671.68        500.000        3313.00     
  1669.17        500.000        3313.15     
  1666.67        500.000        3315.78     
  1664.16        500.000        3317.51     
  1661.65        500.000        3318.89     
  1659.15        500.000        3319.98     
  1656.64        500.000        3320.60     
  1654.14        500.000        3323.17     
  1651.63        500.000        4435.10     
  1649.12        500.000        3327.60     
  1646.62        500.000        3326.96     
  1644.11        500.000        3330.13     
  1641.60        500.000        3332.13     
  1639.10        500.000        3331.99     
  1636.59        500.000        3332.91     
  1634.09        500.000        3335.16     
  1631.58        500.000        3336.20     
  1629.07        500.000        3337.42     
  1626.57        500.000        3339.60     
  1624.06        500.000        3341.38     
  1621.55        500.000        3342.76     
  1619.05        500.000        3343.21     
  1616.54        500.000        3345.24     
  1614.04        500.000        3346.34     
  1611.53        500.000        3347.88     
  1609.02        500.000        3349.47     
  1606.52        500.000        3350.45     
  1604.01        500.000        3351.85     
  1601.50        500.000        3353.24     
  1599.00        500.000        3354.32     
  1596.49        500.000        3356.07     
  1593.98        500.000        3356.68     
  1591.48        500.000        3358.91     
  1588.97        500.000        3360.20     
  1586.47        500.000        3257.14     
  1583.96        500.000        3249.46     
  1581.45        500.000        3251.70     
  1578.95        500.000        3251.29     
  1576.44        500.000        3252.57     
  1573.93        500.000        3252.47     
  1571.43        500.000        3254.06     
  1568.92        500.000        3253.90     
  1566.42        500.000        3254.62     
  1563.91        500.000        3255.79     
  1561.40        500.000        3256.67     
  1558.90        500.000        3257.48     
  1556.39        500.000        3258.82     
  1553.88        500.000        3258.71     
  1551.38        500.000        3259.98     
  1548.87        500.000        3260.55     
  1546.37        500.000        3261.28     
  1543.86        500.000        3261.16     
  1541.35        500.000        3262.83     
  1538.85        500.000        3263.72     
  1536.34        500.000        3264.04     
  1533.83        500.000        3263.70     
  1531.33        500.000        3265.30     
  1528.82        500.000        3265.75     
  1526.32        500.000        3266.63     
  1523.81        500.000        3267.51     
  1521.30        500.000        3267.74     
  1518.80        500.000        3268.28     
  1516.29        500.000        3270.16     
  1513.78        500.000        3270.99     
  1511.28        500.000        3270.29     
  1508.77        500.000        3283.82     
  1506.27        500.000        3271.74     
  1503.76        500.000        3273.11     
  1501.25        500.000        3275.02     
  1498.75        500.000        3274.55     
  1496.24        500.000        3280.85     
  1493.73        500.000        3277.14     
  1491.23        500.000        3276.98     
  1488.72        500.000        3278.47     
  1486.22        500.000        3280.12     
  1483.71        500.000        3280.49     
  1481.20        500.000        3280.38     
  1478.70        500.000        3275.76     
  1476.19        500.000        3271.18     
  1473.68        500.000        3272.04     
  1471.18        500.000        3273.38     
  1468.67        500.000        3274.58     
  1466.17        500.000        3277.39     
  1463.66        500.000        3277.76     
  1461.15        500.000        3279.57     
  1458.65        500.000        3279.69     
  1456.14        500.000        3281.88     
  1453.63        500.000        3282.99     
  1451.13        500.000        3284.54     
  1448.62        500.000        3286.75     
  1446.12        500.000        3288.43     
  1443.61        500.000        3289.23     
  1441.10        500.000        3290.47     
  1438.60        500.000        3292.01     
  1436.09        500.000        3276.90     
  1433.58        500.000        3273.01     
  1431.08        500.000        3274.75     
  1428.57        500.000        3276.99     
  1426.07        500.000        3278.38     
  1423.56        500.000        3280.68     
  1421.05        500.000        3282.45     
  1418.55        500.000        3105.99     
  1416.04        500.000        3102.89     
  1413.53        500.000        3105.01     
  1411.03        500.000        3107.27     
  1408.52        500.000        3109.41     
  1406.02        500.000        3111.73     
  1403.51        500.000        3114.02     
  1401.00        500.000        3116.19     
  1398.50        500.000        3118.26     
  1395.99        500.000        3120.74     
  1393.48        500.000        3122.74     
  1390.98        500.000        3125.08     
  1388.47        500.000        3127.16     
