|6.6.6
Archiving\03_Data\fracLP/QFM_m3.75/KHA22/KHA22_6.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  2000.00        500.000        5145.98     
  1997.49        500.000        5146.73     
  1994.99        500.000        5147.49     
  1992.48        500.000        5148.24     
  1989.97        500.000        5149.00     
  1987.47        500.000        5149.75     
  1984.96        500.000        5150.50     
  1982.46        500.000        5151.26     
  1979.95        500.000        5152.01     
  1977.44        500.000        5152.76     
  1974.94        500.000        5153.51     
  1972.43        500.000        5154.26     
  1969.92        500.000        5155.01     
  1967.42        500.000        5155.76     
  1964.91        500.000        5156.51     
  1962.41        500.000        5157.26     
  1959.90        500.000        5158.01     
  1957.39        500.000        5158.76     
  1954.89        500.000        5159.51     
  1952.38        500.000        5160.26     
  1949.87        500.000        5161.00     
  1947.37        500.000        5161.75     
  1944.86        500.000        5162.50     
  1942.36        500.000        5163.24     
  1939.85        500.000        5163.99     
  1937.34        500.000        5164.74     
  1934.84        500.000        5165.48     
  1932.33        500.000        5166.22     
  1929.82        500.000        5166.97     
  1927.32        500.000        5167.71     
  1924.81        500.000        5168.46     
  1922.31        500.000        5169.20     
  1919.80        500.000        5169.94     
  1917.29        500.000        5170.68     
  1914.79        500.000        5171.42     
  1912.28        500.000        5172.17     
  1909.77        500.000        3768.52     
  1907.27        500.000        3134.68     
  1904.76        500.000        3136.51     
  1902.26        500.000        3137.68     
  1899.75        500.000        3139.32     
  1897.24        500.000        3140.85     
  1894.74        500.000        3141.82     
  1892.23        500.000        3143.31     
  1889.72        500.000        3144.55     
  1887.22        500.000        3146.04     
  1884.71        500.000        3147.77     
  1882.21        500.000        3149.16     
  1879.70        500.000        3150.98     
  1877.19        500.000        3151.79     
  1874.69        500.000        3153.73     
  1872.18        500.000        3155.42     
  1869.67        500.000        3156.52     
  1867.17        500.000        3158.26     
  1864.66        500.000        3160.27     
  1862.16        500.000        3161.19     
  1859.65        500.000        3162.57     
  1857.14        500.000        3177.73     
  1854.64        500.000        3191.58     
  1852.13        500.000        3191.15     
  1849.62        500.000        3192.42     
  1847.12        500.000        3194.11     
  1844.61        500.000        3195.90     
  1842.11        500.000        3197.04     
  1839.60        500.000        3198.86     
  1837.09        500.000        3200.12     
  1834.59        500.000        3202.13     
  1832.08        500.000        3203.95     
  1829.57        500.000        3204.77     
  1827.07        500.000        3206.25     
  1824.56        500.000        3208.06     
  1822.06        500.000        3209.69     
  1819.55        500.000        3210.93     
  1817.04        500.000        3213.12     
  1814.54        500.000        3213.63     
  1812.03        500.000        3215.76     
  1809.52        500.000        3217.40     
  1807.02        500.000        3218.56     
  1804.51        500.000        3220.82     
  1802.01        500.000        3222.16     
  1799.50        500.000        3223.92     
  1796.99        500.000        3225.07     
  1794.49        500.000        3226.20     
  1791.98        500.000        3227.98     
  1789.47        500.000        3229.84     
  1786.97        500.000        3231.13     
  1784.46        500.000        3232.47     
  1781.95        500.000        3234.42     
  1779.45        500.000        3236.37     
  1776.94        500.000        3236.98     
  1774.44        500.000        3238.92     
  1771.93        500.000        3240.28     
  1769.42        500.000        3242.42     
  1766.92        500.000        3242.95     
  1764.41        500.000        3245.58     
  1761.90        500.000        3247.08     
  1759.40        500.000        3248.85     
  1756.89        500.000        3249.37     
  1754.39        500.000        3251.17     
  1751.88        500.000        3253.02     
  1749.37        500.000        3254.60     
  1746.87        500.000        3255.95     
  1744.36        500.000        3257.71     
  1741.85        500.000        3259.06     
  1739.35        500.000        3260.49     
  1736.84        500.000        3262.32     
  1734.34        500.000        3263.11     
  1731.83        500.000        3265.20     
  1729.32        500.000        3266.90     
  1726.82        500.000        3267.39     
  1724.31        500.000        3269.62     
  1721.80        500.000        3270.78     
  1719.30        500.000        3272.86     
  1716.79        500.000        3274.86     
  1714.29        500.000        3275.45     
  1711.78        500.000        3277.39     
  1709.27        500.000        3280.96     
  1706.77        500.000        3277.77     
  1704.26        500.000        3283.57     
  1701.75        500.000        3282.93     
  1699.25        500.000        3284.99     
  1696.74        500.000        3286.00     
  1694.24        500.000        3287.48     
  1691.73        500.000        3288.87     
  1689.22        500.000        3290.09     
  1686.72        500.000        3291.73     
  1684.21        500.000        3293.13     
  1681.70        500.000        3294.57     
  1679.20        500.000        3296.19     
  1676.69        500.000        3296.80     
  1674.19        500.000        3298.16     
  1671.68        500.000        3300.44     
  1669.17        500.000        3301.71     
  1666.67        500.000        3303.38     
  1664.16        500.000        3304.87     
  1661.65        500.000        3304.64     
  1659.15        500.000        3307.60     
  1656.64        500.000        3316.82     
  1654.14        500.000        3310.44     
  1651.63        500.000        3311.94     
  1649.12        500.000        3313.22     
  1646.62        500.000        3314.96     
  1644.11        500.000        3315.31     
  1641.60        500.000        3316.61     
  1639.10        500.000        3318.21     
  1636.59        500.000        3319.75     
  1634.09        500.000        3321.45     
  1631.58        500.000        3321.43     
  1629.07        500.000        3323.90     
  1626.57        500.000        3324.53     
  1624.06        500.000        3326.64     
  1621.55        500.000        3327.17     
  1619.05        500.000        3328.27     
  1616.54        500.000        3329.58     
  1614.04        500.000        3331.10     
  1611.53        500.000        3332.87     
  1609.02        500.000        3329.76     
  1606.52        500.000        3341.35     
  1604.01        500.000        3337.03     
  1601.50        500.000        3337.49     
  1599.00        500.000        3338.86     
  1596.49        500.000        3340.22     
  1593.98        500.000        3303.82     
  1591.48        500.000        3261.62     
  1588.97        500.000        3239.10     
  1586.47        500.000        3237.74     
  1583.96        500.000        3239.47     
  1581.45        500.000        3239.75     
  1578.95        500.000        3241.03     
  1576.44        500.000        3241.57     
  1573.93        500.000        3242.26     
  1571.43        500.000        3242.23     
  1568.92        500.000        3242.84     
  1566.42        500.000        3244.31     
  1563.91        500.000        3244.67     
  1561.40        500.000        3244.94     
  1558.90        500.000        3246.20     
  1556.39        500.000        3246.63     
  1553.88        500.000        3246.87     
  1551.38        500.000        3248.62     
  1548.87        500.000        3248.14     
  1546.37        500.000        3249.38     
  1543.86        500.000        3250.52     
  1541.35        500.000        3250.36     
  1538.85        500.000        3252.31     
  1536.34        500.000        3252.70     
  1533.83        500.000        3252.90     
  1531.33        500.000        3252.93     
  1528.82        500.000        3253.94     
  1526.32        500.000        3252.95     
  1523.81        500.000        3258.23     
  1521.30        500.000        3255.01     
  1518.80        500.000        3258.13     
  1516.29        500.000        3256.75     
  1513.78        500.000        3257.56     
  1511.28        500.000        3258.12     
  1508.77        500.000        3260.57     
  1506.27        500.000        3259.80     
  1503.76        500.000        3262.93     
  1501.25        500.000        3264.29     
  1498.75        500.000        3262.93     
  1496.24        500.000        3263.97     
  1493.73        500.000        3264.43     
  1491.23        500.000        3268.58     
  1488.72        500.000        3266.43     
  1486.22        500.000        3267.35     
  1483.71        500.000        3268.44     
  1481.20        500.000        3257.06     
  1478.70        500.000        3256.18     
  1476.19        500.000        3257.23     
  1473.68        500.000        3258.01     
  1471.18        500.000        3259.57     
  1468.67        500.000        3260.59     
  1466.17        500.000        3261.86     
  1463.66        500.000        3263.06     
  1461.15        500.000        3263.77     
  1458.65        500.000        3264.88     
  1456.14        500.000        3267.43     
  1453.63        500.000        3267.82     
  1451.13        500.000        3268.79     
  1448.62        500.000        3270.53     
  1446.12        500.000        3273.13     
  1443.61        500.000        3273.08     
  1441.10        500.000        3274.47     
  1438.60        500.000        3276.92     
  1436.09        500.000        3271.53     
  1433.58        500.000        3260.16     
  1431.08        500.000        3262.27     
  1428.57        500.000        3263.68     
  1426.07        500.000        3265.33     
  1423.56        500.000        3267.18     
  1421.05        500.000        3268.84     
  1418.55        500.000        3270.62     
  1416.04        500.000        3272.49     
  1413.53        500.000        3198.94     
  1411.03        500.000        3094.34     
  1408.52        500.000        3096.39     
  1406.02        500.000        3098.24     
  1403.51        500.000        3099.74     
  1401.00        500.000        3101.82     
  1398.50        500.000        3103.79     
  1395.99        500.000        3105.64     
  1393.48        500.000        3107.50     
  1390.98        500.000        3109.39     
  1388.47        500.000        3111.44     
