|6.6.6
Archiving\03_Data\fracLP/QFM_m3/KHA22/KHA22_6.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  2000.00        500.000        5145.98     
  1997.49        500.000        5146.73     
  1994.99        500.000        5147.49     
  1992.48        500.000        5148.24     
  1989.97        500.000        5149.00     
  1987.47        500.000        5149.75     
  1984.96        500.000        5150.50     
  1982.46        500.000        5151.26     
  1979.95        500.000        5152.01     
  1977.44        500.000        5152.76     
  1974.94        500.000        5153.51     
  1972.43        500.000        5154.26     
  1969.92        500.000        5155.01     
  1967.42        500.000        5155.76     
  1964.91        500.000        5156.51     
  1962.41        500.000        5157.26     
  1959.90        500.000        5158.01     
  1957.39        500.000        5158.76     
  1954.89        500.000        5159.51     
  1952.38        500.000        5160.26     
  1949.87        500.000        5161.00     
  1947.37        500.000        5161.75     
  1944.86        500.000        5162.50     
  1942.36        500.000        5163.24     
  1939.85        500.000        5163.99     
  1937.34        500.000        5164.74     
  1934.84        500.000        5165.48     
  1932.33        500.000        5166.22     
  1929.82        500.000        5166.97     
  1927.32        500.000        5167.71     
  1924.81        500.000        5168.46     
  1922.31        500.000        5169.20     
  1919.80        500.000        5169.94     
  1917.29        500.000        5170.68     
  1914.79        500.000        5171.42     
  1912.28        500.000        3894.44     
  1909.77        500.000        2882.67     
  1907.27        500.000        3132.68     
  1904.76        500.000        3134.97     
  1902.26        500.000        3136.19     
  1899.75        500.000        3137.87     
  1897.24        500.000        3139.31     
  1894.74        500.000        3140.70     
  1892.23        500.000        3141.90     
  1889.72        500.000        3143.58     
  1887.22        500.000        3144.84     
  1884.71        500.000        3146.48     
  1882.21        500.000        3147.73     
  1879.70        500.000        3149.85     
  1877.19        500.000        3151.06     
  1874.69        500.000        3152.54     
  1872.18        500.000        3153.55     
  1869.67        500.000        3155.04     
  1867.17        500.000        3156.50     
  1864.66        500.000        3158.11     
  1862.16        500.000        3159.47     
  1859.65        500.000        3168.64     
  1857.14        500.000        3186.35     
  1854.64        500.000        3187.72     
  1852.13        500.000        3189.20     
  1849.62        500.000        3190.85     
  1847.12        500.000        3191.84     
  1844.61        500.000        3194.08     
  1842.11        500.000        3195.28     
  1839.60        500.000        3197.38     
  1837.09        500.000        3199.11     
  1834.59        500.000        3200.04     
  1832.08        500.000        3202.27     
  1829.57        500.000        3203.30     
  1827.07        500.000        3206.58     
  1824.56        500.000        3206.07     
  1822.06        500.000        3207.24     
  1819.55        500.000        3207.75     
  1817.04        500.000        3210.67     
  1814.54        500.000        3212.76     
  1812.03        500.000        3214.23     
  1809.52        500.000        3215.07     
  1807.02        500.000        3217.68     
  1804.51        500.000        3218.48     
  1802.01        500.000        3219.92     
  1799.50        500.000        3221.94     
  1796.99        500.000        3223.21     
  1794.49        500.000        3224.78     
  1791.98        500.000        3226.75     
  1789.47        500.000        3227.75     
  1786.97        500.000        3229.13     
  1784.46        500.000        3230.46     
  1781.95        500.000        3232.38     
  1779.45        500.000        3233.58     
  1776.94        500.000        3235.18     
  1774.44        500.000        3237.30     
  1771.93        500.000        3238.42     
  1769.42        500.000        3240.24     
  1766.92        500.000        3242.08     
  1764.41        500.000        3243.11     
  1761.90        500.000        3244.30     
  1759.40        500.000        3246.45     
  1756.89        500.000        3248.03     
  1754.39        500.000        3249.92     
  1751.88        500.000        3251.04     
  1749.37        500.000        3252.74     
  1746.87        500.000        3254.05     
  1744.36        500.000        3255.97     
  1741.85        500.000        3257.19     
  1739.35        500.000        3258.79     
  1736.84        500.000        3259.70     
  1734.34        500.000        3261.78     
  1731.83        500.000        3263.41     
  1729.32        500.000        3267.38     
  1726.82        500.000        3265.96     
  1724.31        500.000        3267.53     
  1721.80        500.000        3271.11     
  1719.30        500.000        3270.51     
  1716.79        500.000        3271.56     
  1714.29        500.000        3274.18     
  1711.78        500.000        3275.46     
  1709.27        500.000        3276.43     
  1706.77        500.000        3277.89     
  1704.26        500.000        3280.21     
  1701.75        500.000        3281.39     
  1699.25        500.000        3282.46     
  1696.74        500.000        3284.15     
  1694.24        500.000        3285.71     
  1691.73        500.000        3287.06     
  1689.22        500.000        3288.17     
  1686.72        500.000        3289.94     
  1684.21        500.000        3290.44     
  1681.70        500.000        3293.93     
  1679.20        500.000        3293.97     
  1676.69        500.000        3295.80     
  1674.19        500.000        3297.27     
  1671.68        500.000        3298.62     
  1669.17        500.000        3300.35     
  1666.67        500.000        3301.26     
  1664.16        500.000        3302.89     
  1661.65        500.000        3304.90     
  1659.15        500.000        3305.85     
  1656.64        500.000        3306.46     
  1654.14        500.000        3308.55     
  1651.63        500.000        3310.52     
  1649.12        500.000        3311.45     
  1646.62        500.000        3312.80     
  1644.11        500.000        3313.89     
  1641.60        500.000        3315.61     
  1639.10        500.000        3317.17     
  1636.59        500.000        3318.30     
  1634.09        500.000        3319.55     
  1631.58        500.000        3320.73     
  1629.07        500.000        3322.00     
  1626.57        500.000        3325.93     
  1624.06        500.000        3325.85     
  1621.55        500.000        3326.34     
  1619.05        500.000        3329.82     
  1616.54        500.000        3327.93     
  1614.04        500.000        3330.09     
  1611.53        500.000        3330.59     
  1609.02        500.000        3332.45     
  1606.52        500.000        3334.00     
  1604.01        500.000        3338.07     
  1601.50        500.000        3336.05     
  1599.00        500.000        3336.71     
  1596.49        500.000        3338.76     
  1593.98        500.000        3284.69     
  1591.48        500.000        3269.07     
  1588.97        500.000        3236.53     
  1586.47        500.000        3238.47     
  1583.96        500.000        3238.71     
  1581.45        500.000        3239.13     
  1578.95        500.000        3240.02     
  1576.44        500.000        3240.92     
  1573.93        500.000        3241.80     
  1571.43        500.000        3242.05     
  1568.92        500.000        3243.15     
  1566.42        500.000        3243.85     
  1563.91        500.000        3244.81     
  1561.40        500.000        3245.03     
  1558.90        500.000        3246.17     
  1556.39        500.000        3246.66     
  1553.88        500.000        3247.82     
  1551.38        500.000        3247.55     
  1548.87        500.000        3250.34     
  1546.37        500.000        3249.35     
  1543.86        500.000        3249.87     
  1541.35        500.000        3250.88     
  1538.85        500.000        3251.03     
  1536.34        500.000        3252.17     
  1533.83        500.000        3252.14     
  1531.33        500.000        3252.85     
  1528.82        500.000        3253.20     
  1526.32        500.000        3253.84     
  1523.81        500.000        3253.89     
  1521.30        500.000        3255.26     
  1518.80        500.000        3256.76     
  1516.29        500.000        3258.17     
  1513.78        500.000        3260.05     
  1511.28        500.000        3258.50     
  1508.77        500.000        3259.52     
  1506.27        500.000        3260.44     
  1503.76        500.000        3261.05     
  1501.25        500.000        3262.15     
  1498.75        500.000        3262.84     
  1496.24        500.000        3264.93     
  1493.73        500.000        3265.47     
  1491.23        500.000        3265.33     
  1488.72        500.000        3267.22     
  1486.22        500.000        3267.24     
  1483.71        500.000        3268.47     
  1481.20        500.000        3269.67     
  1478.70        500.000        3260.44     
  1476.19        500.000        3256.37     
  1473.68        500.000        3257.73     
  1471.18        500.000        3259.08     
  1468.67        500.000        3259.94     
  1466.17        500.000        3261.13     
  1463.66        500.000        3262.95     
  1461.15        500.000        3263.49     
  1458.65        500.000        3265.17     
  1456.14        500.000        3267.00     
  1453.63        500.000        3267.77     
  1451.13        500.000        3269.70     
  1448.62        500.000        3269.35     
  1446.12        500.000        3271.64     
  1443.61        500.000        3272.89     
  1441.10        500.000        3275.15     
  1438.60        500.000        3276.41     
  1436.09        500.000        3276.06     
  1433.58        500.000        3260.16     
  1431.08        500.000        3262.11     
  1428.57        500.000        3263.60     
  1426.07        500.000        3265.59     
  1423.56        500.000        3267.12     
  1421.05        500.000        3269.10     
  1418.55        500.000        3271.00     
  1416.04        500.000        3272.61     
  1413.53        500.000        3274.51     
  1411.03        500.000        3114.63     
  1408.52        500.000        3096.70     
  1406.02        500.000        3098.67     
  1403.51        500.000        3100.64     
  1401.00        500.000        3102.51     
  1398.50        500.000        3104.35     
  1395.99        500.000        3106.43     
  1393.48        500.000        3108.34     
  1390.98        500.000        3110.42     
  1388.47        500.000        3112.06     
