|6.6.6
Archiving\03_Data\fracLP/QFM_m4.25/LAR/LAR_5.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         pcr     usp     imt     ispTH     iherc     nmt     nsp     nherc    
  2000.00        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000       0.821420       0.126380E-002  0.371607E-001  0.136035E-001  0.512517E-001 -0.183920E-001 -0.551432       0.645124     
  1659.15        500.000       0.820350       0.130807E-002  0.372195E-001  0.135808E-001  0.513350E-001 -0.184195E-001 -0.550666       0.645292     
  1656.64        500.000       0.818982       0.133079E-002  0.372489E-001  0.135475E-001  0.515166E-001 -0.184323E-001 -0.549732       0.645538     
  1654.14        500.000       0.818221       0.134550E-002  0.373534E-001  0.134368E-001  0.516170E-001 -0.184822E-001 -0.549957       0.646466     
  1651.63        500.000       0.817868       0.136741E-002  0.376347E-001  0.133764E-001  0.515165E-001 -0.186191E-001 -0.550225       0.647081     
  1649.12        500.000       0.815655       0.139963E-002  0.374634E-001  0.133730E-001  0.519124E-001 -0.185328E-001 -0.548229       0.646959     
  1646.62        500.000       0.814193       0.139921E-002  0.375315E-001  0.133320E-001  0.521179E-001 -0.185642E-001 -0.547306       0.647297     
  1644.11        500.000       0.813760       0.142872E-002  0.377359E-001  0.132548E-001  0.520680E-001 -0.186633E-001 -0.547585       0.648000     
  1641.60        500.000       0.812112       0.139022E-002  0.378172E-001  0.132488E-001  0.522873E-001 -0.187010E-001 -0.546212       0.648057     
  1639.10        500.000       0.810450       0.146095E-002  0.377317E-001  0.132064E-001  0.525485E-001 -0.186571E-001 -0.545037       0.648296     
  1636.59        500.000       0.809685       0.150391E-002  0.379207E-001  0.131435E-001  0.525594E-001 -0.187482E-001 -0.544940       0.648875     
  1634.09        500.000       0.808574       0.156505E-002  0.380385E-001  0.131030E-001  0.526385E-001 -0.188041E-001 -0.544338       0.649223     
  1631.58        500.000       0.806982       0.154049E-002  0.379166E-001  0.130348E-001  0.529477E-001 -0.187424E-001 -0.543339       0.649659     
  1629.07        500.000       0.805692       0.157800E-002  0.376564E-001  0.128476E-001  0.533248E-001 -0.186130E-001 -0.543498       0.651012     
  1626.57        500.000       0.804427       0.149270E-002  0.374997E-001  0.127180E-001  0.536492E-001 -0.185346E-001 -0.543210       0.651958     
  1624.06        500.000       0.803363       0.148897E-002  0.372640E-001  0.125483E-001  0.539587E-001 -0.184177E-001 -0.543403       0.653198     
  1621.55        500.000       0.802764       0.161456E-002  0.371137E-001  0.122623E-001  0.542221E-001 -0.183423E-001 -0.545150       0.655516     
  1619.05        500.000       0.800527       0.161295E-002  0.368861E-001  0.121587E-001  0.547309E-001 -0.182280E-001 -0.543913       0.656225     
  1616.54        500.000       0.799822       0.166807E-002  0.367503E-001  0.120327E-001  0.548599E-001 -0.181604E-001 -0.544142       0.657170     
  1614.04        500.000       0.798668       0.165097E-002  0.365285E-001  0.119065E-001  0.551385E-001 -0.180504E-001 -0.543922       0.658080     
  1611.53        500.000       0.796851       0.163671E-002  0.365117E-001  0.116760E-001  0.556405E-001 -0.180387E-001 -0.544368       0.660090     
  1609.02        500.000       0.794818       0.172013E-002  0.363569E-001  0.115628E-001  0.560579E-001 -0.179599E-001 -0.543499       0.660944     
  1606.52        500.000       0.792034       0.179646E-002  0.358105E-001  0.116190E-001  0.565492E-001 -0.176905E-001 -0.540118       0.659999     
  1604.01        500.000       0.792798       0.171214E-002  0.357855E-001  0.112287E-001  0.566497E-001 -0.176777E-001 -0.544002       0.663506     
  1601.50        500.000       0.793710       0.177559E-002  0.358952E-001  0.110085E-001  0.564435E-001 -0.177315E-001 -0.546646       0.665545     
  1599.00        500.000       0.791124       0.176959E-002  0.355314E-001  0.109645E-001  0.569833E-001 -0.175507E-001 -0.544477       0.665656     
  1596.49        500.000       0.790526       0.175431E-002  0.354797E-001  0.107859E-001  0.571439E-001 -0.175240E-001 -0.545408       0.667242     
  1593.98        500.000       0.790290       0.197511E-002  0.352825E-001  0.106441E-001  0.571312E-001 -0.174270E-001 -0.546269       0.668373     
  1591.48        500.000       0.786018       0.189506E-002  0.349366E-001  0.105971E-001  0.580775E-001 -0.172526E-001 -0.542811       0.668539     
  1588.97        500.000       0.785409       0.189149E-002  0.348507E-001  0.104069E-001  0.582546E-001 -0.172092E-001 -0.543858       0.670254     
  1586.47        500.000       0.783503       0.197420E-002  0.345050E-001  0.103235E-001  0.586366E-001 -0.170380E-001 -0.542666       0.670762     
  1583.96        500.000       0.784431       0.227343E-002  0.347561E-001  0.967958E-002  0.585157E-001 -0.171522E-001 -0.542267       0.669763     
  1581.45        500.000       0.782182       0.189990E-002  0.344925E-001  0.990380E-002  0.590429E-001 -0.170282E-001 -0.545274       0.674781     
  1578.95        500.000       0.780453       0.195149E-002  0.342967E-001  0.981440E-002  0.593634E-001 -0.169302E-001 -0.544418       0.675469     
  1576.44        500.000       0.780201       0.188025E-002  0.340896E-001  0.968326E-002  0.594382E-001 -0.168288E-001 -0.545076       0.676613     
  1573.93        500.000       0.777190       0.200679E-002  0.336303E-001  0.970370E-002  0.599538E-001 -0.166015E-001 -0.541890       0.676007     
  1571.43        500.000       0.775019       0.205622E-002  0.334417E-001  0.960665E-002  0.603768E-001 -0.165063E-001 -0.540779       0.676785     
  1568.92        500.000       0.773557       0.206421E-002  0.331926E-001  0.951640E-002  0.606570E-001 -0.163829E-001 -0.540079       0.677475     
  1566.42        500.000       0.771924       0.207679E-002  0.330964E-001  0.934494E-002  0.610329E-001 -0.163330E-001 -0.540249       0.679107     
  1563.91        500.000       0.773861       0.285750E-002  0.333029E-001  0.902748E-002  0.604489E-001 -0.164336E-001 -0.545495       0.682431     
  1561.40        500.000       0.768511       0.205909E-002  0.326760E-001  0.917206E-002  0.616808E-001 -0.161234E-001 -0.538462       0.680487     
