|6.6.6
Archiving\03_Data\DfracLP/QFM_m0.25/K22/K22_2.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         Sp(TH),kg     
  2000.00        500.000                 NaN
  1997.49        500.000                 NaN
  1994.99        500.000                 NaN
  1992.48        500.000                 NaN
  1989.97        500.000                 NaN
  1987.47        500.000                 NaN
  1984.96        500.000                 NaN
  1982.46        500.000                 NaN
  1979.95        500.000                 NaN
  1977.44        500.000                 NaN
  1974.94        500.000                 NaN
  1972.43        500.000                 NaN
  1969.92        500.000                 NaN
  1967.42        500.000                 NaN
  1964.91        500.000                 NaN
  1962.41        500.000                 NaN
  1959.90        500.000                 NaN
  1957.39        500.000                 NaN
  1954.89        500.000                 NaN
  1952.38        500.000                 NaN
  1949.87        500.000                 NaN
  1947.37        500.000                 NaN
  1944.86        500.000                 NaN
  1942.36        500.000                 NaN
  1939.85        500.000                 NaN
  1937.34        500.000                 NaN
  1934.84        500.000                 NaN
  1932.33        500.000                 NaN
  1929.82        500.000                 NaN
  1927.32        500.000                 NaN
  1924.81        500.000                 NaN
  1922.31        500.000                 NaN
  1919.80        500.000       0.949093E-005
  1917.29        500.000                 NaN
  1914.79        500.000       0.688295E-005
  1912.28        500.000       0.149004E-004
  1909.77        500.000       0.147441E-004
  1907.27        500.000       0.146440E-004
  1904.76        500.000       0.144403E-004
  1902.26        500.000       0.143112E-004
  1899.75        500.000       0.141854E-004
  1897.24        500.000       0.140268E-004
  1894.74        500.000       0.139964E-004
  1892.23        500.000       0.136787E-004
  1889.72        500.000       0.136511E-004
  1887.22        500.000       0.135161E-004
  1884.71        500.000       0.133893E-004
  1882.21        500.000       0.132732E-004
  1879.70        500.000       0.132047E-004
  1877.19        500.000       0.129885E-004
  1874.69        500.000       0.129487E-004
  1872.18        500.000       0.127988E-004
  1869.67        500.000       0.127092E-004
  1867.17        500.000       0.125661E-004
  1864.66        500.000       0.125032E-004
  1862.16        500.000       0.123585E-004
  1859.65        500.000       0.122656E-004
  1857.14        500.000       0.121756E-004
  1854.64        500.000       0.121177E-004
  1852.13        500.000       0.119224E-004
  1849.62        500.000       0.129171E-004
  1847.12        500.000       0.107444E-004
  1844.61        500.000       0.116466E-004
  1842.11        500.000       0.115835E-004
  1839.60        500.000       0.115396E-004
  1837.09        500.000       0.729377E-005
  1834.59        500.000       0.153521E-004
  1832.08        500.000       0.218529E-004
  1829.57        500.000       0.528049E-006
  1827.07        500.000       0.863933E-005
  1824.56        500.000       0.133975E-004
  1822.06        500.000       0.109015E-004
  1819.55        500.000       0.108139E-004
  1817.04        500.000       0.102420E-004
  1814.54        500.000       0.111016E-004
  1812.03        500.000       0.106740E-004
  1809.52        500.000       0.103901E-004
  1807.02        500.000       0.840035E-005
  1804.51        500.000       0.123914E-004
  1802.01        500.000       0.102818E-004
  1799.50        500.000       0.101951E-004
  1796.99        500.000       0.101156E-004
  1794.49        500.000       0.100670E-004
  1791.98        500.000       0.996208E-005
  1789.47        500.000       0.992233E-005
  1786.97        500.000       0.985464E-005
  1784.46        500.000       0.975414E-005
  1781.95        500.000       0.971283E-005
  1779.45        500.000       0.133721E-004
  1776.94        500.000       0.327356E-005
  1774.44        500.000       0.121222E-004
  1771.93        500.000       0.945300E-005
  1769.42        500.000       0.940010E-005
  1766.92        500.000       0.929441E-005
  1764.41        500.000       0.925779E-005
  1761.90        500.000       0.917888E-005
  1759.40        500.000       0.915982E-005
  1756.89        500.000       0.905933E-005
  1754.39        500.000       0.900438E-005
  1751.88        500.000       0.896133E-005
  1749.37        500.000       0.888956E-005
  1746.87        500.000       0.882526E-005
  1744.36        500.000       0.877933E-005
  1741.85        500.000       0.872573E-005
  1739.35        500.000       0.866748E-005
  1736.84        500.000       0.858890E-005
  1734.34        500.000       0.232954E-006
  1731.83        500.000       0.168082E-004
  1729.32        500.000       0.843833E-005
  1726.82        500.000       0.838363E-005
  1724.31        500.000       0.830847E-005
  1721.80        500.000       0.826207E-005
  1719.30        500.000       0.826354E-005
  1716.79        500.000       0.810818E-005
  1714.29        500.000       0.811298E-005
  1711.78        500.000       0.804662E-005
  1709.27        500.000       0.800045E-005
  1706.77        500.000       0.794578E-005
  1704.26        500.000       0.791190E-005
  1701.75        500.000       0.781102E-005
  1699.25        500.000       0.778037E-005
  1696.74        500.000       0.723865E-005
  1694.24        500.000       0.821328E-005
  1691.73        500.000       0.760923E-005
  1689.22        500.000       0.757616E-005
  1686.72        500.000       0.751974E-005
  1684.21        500.000       0.746124E-005
  1681.70        500.000       0.741400E-005
  1679.20        500.000       0.736526E-005
  1676.69        500.000       0.731755E-005
  1674.19        500.000       0.730626E-005
  1671.68        500.000       0.716815E-005
  1669.17        500.000       0.718438E-005
  1666.67        500.000       0.708495E-005
  1664.16        500.000       0.706062E-005
  1661.65        500.000       0.699798E-005
  1659.15        500.000       0.695062E-005
  1656.64        500.000       0.690342E-005
  1654.14        500.000       0.685881E-005
  1651.63        500.000       0.678310E-005
  1649.12        500.000       0.674247E-005
  1646.62        500.000       0.700074E-005
  1644.11        500.000       0.637249E-005
  1641.60        500.000       0.112219E-004
  1639.10        500.000       0.531683E-005
  1636.59        500.000       0.646662E-005
  1634.09        500.000       0.643278E-005
  1631.58        500.000       0.636897E-005
  1629.07        500.000       0.636433E-005
  1626.57        500.000       0.621869E-005
  1624.06        500.000       0.623117E-005
  1621.55        500.000       0.623780E-005
  1619.05        500.000       0.603073E-005
  1616.54        500.000       0.634245E-005
  1614.04        500.000       0.574052E-005
  1611.53        500.000       0.594813E-005
  1609.02        500.000                 NaN
  1606.52        500.000                 NaN
  1604.01        500.000                 NaN
  1601.50        500.000                 NaN
  1599.00        500.000                 NaN
  1596.49        500.000                 NaN
  1593.98        500.000                 NaN
  1591.48        500.000                 NaN
  1588.97        500.000                 NaN
  1586.47        500.000                 NaN
  1583.96        500.000                 NaN
  1581.45        500.000                 NaN
  1578.95        500.000                 NaN
  1576.44        500.000                 NaN
  1573.93        500.000                 NaN
  1571.43        500.000                 NaN
  1568.92        500.000                 NaN
  1566.42        500.000                 NaN
  1563.91        500.000                 NaN
  1561.40        500.000                 NaN
  1558.90        500.000                 NaN
  1556.39        500.000                 NaN
  1553.88        500.000                 NaN
  1551.38        500.000                 NaN
  1548.87        500.000                 NaN
  1546.37        500.000                 NaN
  1543.86        500.000                 NaN
  1541.35        500.000                 NaN
  1538.85        500.000                 NaN
  1536.34        500.000                 NaN
  1533.83        500.000                 NaN
  1531.33        500.000                 NaN
  1528.82        500.000                 NaN
  1526.32        500.000                 NaN
  1523.81        500.000                 NaN
  1521.30        500.000                 NaN
  1518.80        500.000                 NaN
  1516.29        500.000                 NaN
  1513.78        500.000                 NaN
  1511.28        500.000                 NaN
  1508.77        500.000                 NaN
  1506.27        500.000                 NaN
  1503.76        500.000                 NaN
  1501.25        500.000                 NaN
  1498.75        500.000                 NaN
  1496.24        500.000                 NaN
  1493.73        500.000                 NaN
  1491.23        500.000                 NaN
  1488.72        500.000                 NaN
  1486.22        500.000                 NaN
  1483.71        500.000                 NaN
  1481.20        500.000                 NaN
  1478.70        500.000                 NaN
