|6.6.6
Archiving\03_Data\DfracLP/QFM_m1.5/K22/K22_6.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  2000.00        500.000        8099.88     
  1997.49        500.000        8101.32     
  1994.99        500.000        8102.75     
  1992.48        500.000        8104.18     
  1989.97        500.000        8105.61     
  1987.47        500.000        8107.04     
  1984.96        500.000        8108.47     
  1982.46        500.000        8109.90     
  1979.95        500.000        8111.32     
  1977.44        500.000        8112.75     
  1974.94        500.000        8114.18     
  1972.43        500.000        8115.60     
  1969.92        500.000        8117.02     
  1967.42        500.000        3258.30     
  1964.91        500.000        2896.08     
  1962.41        500.000        2896.67     
  1959.90        500.000        2897.25     
  1957.39        500.000        2897.84     
  1954.89        500.000        2898.42     
  1952.38        500.000        2899.01     
  1949.87        500.000        2899.59     
  1947.37        500.000        2900.18     
  1944.86        500.000        2900.76     
  1942.36        500.000        2901.35     
  1939.85        500.000        2901.93     
  1937.34        500.000        3118.11     
  1934.84        500.000        3119.68     
  1932.33        500.000        3121.09     
  1929.82        500.000        3122.68     
  1927.32        500.000        3123.71     
  1924.81        500.000        3125.10     
  1922.31        500.000        3126.53     
  1919.80        500.000        3127.78     
  1917.29        500.000        3129.27     
  1914.79        500.000        3130.36     
  1912.28        500.000        3132.18     
  1909.77        500.000        3133.79     
  1907.27        500.000        3135.08     
  1904.76        500.000        3136.55     
  1902.26        500.000        3151.17     
  1899.75        500.000        3161.44     
  1897.24        500.000        3162.58     
  1894.74        500.000        3164.38     
  1892.23        500.000        3166.33     
  1889.72        500.000        3167.38     
  1887.22        500.000        3174.03     
  1884.71        500.000        3169.56     
  1882.21        500.000        3172.02     
  1879.70        500.000        3174.21     
  1877.19        500.000        3181.50     
  1874.69        500.000        3174.80     
  1872.18        500.000        3177.94     
  1869.67        500.000        3179.87     
  1867.17        500.000        3181.46     
  1864.66        500.000        3183.12     
  1862.16        500.000        3185.00     
  1859.65        500.000        3186.53     
  1857.14        500.000        3187.54     
  1854.64        500.000        3189.38     
  1852.13        500.000        3190.96     
  1849.62        500.000        3192.18     
  1847.12        500.000        3194.17     
  1844.61        500.000        3196.02     
  1842.11        500.000        3197.47     
  1839.60        500.000        3198.44     
  1837.09        500.000        3203.93     
  1834.59        500.000        3201.74     
  1832.08        500.000        3198.43     
  1829.57        500.000        3204.41     
  1827.07        500.000        3206.93     
  1824.56        500.000        3203.72     
  1822.06        500.000        3209.99     
  1819.55        500.000        3211.43     
  1817.04        500.000        3213.29     
  1814.54        500.000        3214.92     
  1812.03        500.000        3216.41     
  1809.52        500.000        3217.99     
  1807.02        500.000        3220.35     
  1804.51        500.000        3219.95     
  1802.01        500.000        3222.71     
  1799.50        500.000        3223.81     
  1796.99        500.000        3226.20     
  1794.49        500.000        3227.44     
  1791.98        500.000        3228.16     
  1789.47        500.000        3230.50     
  1786.97        500.000        3232.55     
  1784.46        500.000        3234.27     
  1781.95        500.000        3235.58     
  1779.45        500.000        3237.34     
  1776.94        500.000        3239.07     
  1774.44        500.000        3240.34     
  1771.93        500.000        3242.08     
