|6.6.6
Archiving\03_Data\DfracLP/QFM_m1/WD94/WD94_5.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         pcr     usp     imt     ispTH     iherc     nmt     nsp     nherc    
  2000.00        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000       0.800581       0.539089E-004  0.233543       0.177703      -0.133848      -0.112078      -0.337768       0.371813     
  1877.19        500.000       0.800789       0.646373E-004  0.233425       0.175824      -0.132162      -0.111982      -0.340200       0.374242     
  1874.69        500.000       0.801391       0.699132E-004  0.232869       0.173509      -0.130084      -0.111689      -0.342982       0.376917     
  1872.18        500.000       0.801427       0.566735E-004  0.233483       0.172142      -0.128988      -0.111928      -0.345405       0.379212     
  1869.67        500.000       0.801972       0.729539E-004  0.231259       0.169587      -0.126293      -0.110889      -0.346701       0.380994     
  1867.17        500.000       0.801771       0.583196E-004  0.231136       0.168109      -0.124851      -0.110792      -0.348353       0.382921     
  1864.66        500.000       0.800731       0.640043E-004  0.228424       0.166002      -0.121974      -0.109506      -0.347616       0.383875     
  1862.16        500.000       0.802039       0.574003E-004  0.228618       0.163560      -0.120155      -0.109560      -0.351883       0.387323     
  1859.65        500.000       0.800593       0.468988E-004  0.230119       0.162337      -0.118913      -0.110149      -0.354190       0.390156     
  1857.14        500.000       0.801217       0.641577E-004  0.228200       0.160063      -0.116588      -0.109257      -0.355585       0.391885     
  1854.64        500.000       0.802874       0.611349E-004  0.227576       0.157926      -0.114995      -0.108972      -0.358790       0.394319     
  1852.13        500.000       0.802794       0.483831E-004  0.227676       0.156154      -0.113352      -0.108965      -0.361212       0.396857     
  1849.62        500.000       0.802655       0.657471E-004  0.226299       0.154365      -0.111371      -0.108306      -0.362095       0.398387     
  1847.12        500.000       0.802655       0.735310E-004  0.221904       0.153592      -0.109778      -0.106356      -0.358405       0.396315     
  1844.61        500.000       0.802936       0.600077E-004  0.225264       0.150525      -0.107683      -0.107752      -0.366405       0.403056     
  1842.11        500.000       0.804476       0.674523E-004  0.224755       0.148028      -0.105726      -0.107500      -0.370299       0.406198     
  1839.60        500.000       0.803067       0.636277E-004  0.224232       0.146762      -0.104027      -0.107196      -0.370574       0.407671     
  1837.09        500.000       0.803652       0.652144E-004  0.223335       0.144597      -0.102006      -0.106756      -0.373035       0.410148     
  1834.59        500.000       0.803019       0.650355E-004  0.222407       0.143226      -0.100370      -0.106295      -0.373548       0.411495     
  1832.08        500.000       0.803605       0.721679E-004  0.221324       0.140855      -0.981119E-001 -0.105765      -0.376178       0.414200     
  1829.57        500.000       0.803314       0.594257E-004  0.221630       0.139308      -0.966630E-001 -0.105849      -0.378431       0.416631     
  1827.07        500.000       0.804905       0.632718E-004  0.221628       0.137333      -0.953220E-001 -0.105839      -0.382227       0.419459     
  1824.56        500.000       0.802155       0.705481E-004  0.219620       0.136632      -0.934724E-001 -0.104863      -0.379349       0.419206     
  1822.06        500.000       0.803799       0.646254E-004  0.219788       0.133724      -0.912648E-001 -0.104894      -0.384802       0.423586     
  1819.55        500.000       0.804294       0.609361E-004  0.219626       0.131692      -0.894908E-001 -0.104778      -0.387881       0.426478     
  1817.04        500.000       0.803831       0.633097E-004  0.218719       0.130324      -0.879222E-001 -0.104330      -0.388614       0.427928     
  1814.54        500.000       0.804099       0.633388E-004  0.217908       0.128315      -0.859709E-001 -0.103922      -0.390919       0.430427     
  1812.03        500.000       0.803995       0.587157E-004  0.217127       0.126455      -0.840564E-001 -0.103522      -0.392802       0.432745     
  1809.52        500.000       0.804584       0.697418E-004  0.216956       0.124865      -0.827428E-001 -0.103420      -0.395332       0.435020     
  1807.02        500.000       0.804317       0.704729E-004  0.217109       0.123267      -0.812218E-001 -0.103433      -0.397624       0.437514     
  1804.51        500.000       0.804122       0.658993E-004  0.215210       0.121072      -0.787318E-001 -0.102528      -0.398976       0.439766     
  1802.01        500.000       0.804259       0.631288E-004  0.215237       0.119477      -0.773098E-001 -0.102497      -0.401447       0.442218     
  1799.50        500.000       0.803897       0.638179E-004  0.215306       0.117572      -0.754431E-001 -0.102457      -0.404127       0.445189     
  1796.99        500.000       0.804563       0.650190E-004  0.213948       0.116126      -0.740553E-001 -0.101844      -0.405463       0.446659     
  1794.49        500.000       0.804179       0.748196E-004  0.213614       0.114049      -0.719382E-001 -0.101620      -0.408075       0.449717     
  1791.98        500.000       0.804061       0.653577E-004  0.213057       0.112958      -0.708163E-001 -0.101346      -0.409078       0.451098     
  1789.47        500.000       0.803887       0.627843E-004  0.212674       0.111256      -0.691165E-001 -0.101121      -0.411211       0.453568     
  1786.97        500.000       0.804984       0.604690E-004  0.212161       0.109419      -0.676343E-001 -0.100873      -0.414358       0.456241     
  1784.46        500.000       0.803598       0.644986E-004  0.210464       0.107341      -0.649598E-001 -0.100023      -0.415132       0.458647     
  1781.95        500.000       0.803410       0.634034E-004  0.210929       0.106509      -0.642708E-001 -0.100201      -0.416635       0.460195     
  1779.45        500.000       0.804743       0.604366E-004  0.210152       0.104801      -0.629318E-001 -0.998501E-001 -0.419573       0.462598     
  1776.94        500.000       0.804106       0.665092E-004  0.209361       0.103128      -0.610510E-001 -0.994335E-001 -0.421079       0.464902     
  1774.44        500.000       0.804724       0.635963E-004  0.210633       0.101901      -0.603597E-001 -0.999708E-001 -0.424563       0.467572     
  1771.93        500.000       0.803743       0.657839E-004  0.208811       0.100021      -0.579814E-001 -0.990859E-001 -0.425310       0.469736     
  1769.42        500.000       0.804455       0.698515E-004  0.208332       0.986327E-001 -0.568306E-001 -0.988573E-001 -0.427633       0.471831     
  1766.92        500.000       0.803791       0.641861E-004  0.207537       0.967691E-001 -0.547530E-001 -0.984291E-001 -0.429540       0.474560     
  1764.41        500.000       0.803965       0.636179E-004  0.207142       0.958765E-001 -0.539481E-001 -0.982402E-001 -0.430718       0.475860     
  1761.90        500.000       0.804510       0.585923E-004  0.206784       0.944443E-001 -0.527251E-001 -0.980566E-001 -0.433165       0.478150     
  1759.40        500.000       0.804177       0.281788E-004  0.205022       0.931769E-001 -0.511456E-001 -0.972426E-001 -0.433483       0.479466     
  1756.89        500.000       0.801739       0.633333E-004  0.203882       0.919029E-001 -0.490990E-001 -0.966339E-001 -0.432848       0.480993     
  1754.39        500.000       0.803470       0.562023E-004  0.205773       0.896578E-001 -0.478202E-001 -0.974268E-001 -0.439630       0.485920     
  1751.88        500.000       0.804567       0.744534E-004  0.202146       0.886536E-001 -0.465858E-001 -0.958588E-001 -0.439030       0.486033     
  1749.37        500.000       0.802004       0.641268E-004  0.203492       0.873055E-001 -0.448736E-001 -0.963208E-001 -0.440595       0.488924     
  1746.87        500.000       0.802535       0.789213E-004  0.202841       0.860706E-001 -0.437923E-001 -0.960165E-001 -0.442569       0.490852     
  1744.36        500.000       0.803462       0.549353E-004  0.202960       0.841748E-001 -0.422969E-001 -0.960292E-001 -0.446737       0.494412     
  1741.85        500.000       0.802380       0.700059E-004  0.201960       0.831279E-001 -0.408856E-001 -0.955311E-001 -0.446912       0.495791     
  1739.35        500.000       0.801499       0.723871E-004  0.201320       0.819756E-001 -0.394906E-001 -0.951906E-001 -0.447747       0.497560     
  1736.84        500.000       0.801834       0.700585E-004  0.200891       0.806205E-001 -0.382698E-001 -0.949696E-001 -0.450079       0.499903     
  1734.34        500.000       0.803357       0.812867E-004  0.200849       0.786490E-001 -0.368419E-001 -0.949258E-001 -0.454862       0.503694     
  1731.83        500.000       0.801122       0.739139E-004  0.199813       0.783087E-001 -0.358036E-001 -0.944070E-001 -0.452817       0.503710     
  1729.32        500.000       0.800756       0.764032E-004  0.198626       0.772616E-001 -0.345635E-001 -0.938498E-001 -0.453465       0.505159     
  1726.82        500.000       0.800568       0.708625E-004  0.198320       0.756372E-001 -0.329537E-001 -0.936530E-001 -0.456136       0.508147     
  1724.31        500.000       0.794474       0.334068E-004  0.193232       0.724011E-001 -0.273168E-001 -0.911383E-001 -0.453733       0.512048     
  1721.80        500.000       0.800420       0.796625E-004  0.198219       0.737215E-001 -0.312106E-001 -0.935449E-001 -0.459463       0.511778     
  1719.30        500.000       0.800073       0.740122E-004  0.197669       0.723921E-001 -0.298073E-001 -0.932493E-001 -0.461294       0.514143     
  1716.79        500.000       0.797549       0.797610E-004  0.196298       0.708839E-001 -0.275026E-001 -0.925233E-001 -0.461189       0.516404     
  1714.29        500.000       0.798828       0.716468E-004  0.195591       0.701160E-001 -0.270690E-001 -0.922372E-001 -0.463052       0.517752     
  1711.78        500.000       0.798137       0.842270E-004  0.195151       0.691173E-001 -0.259288E-001 -0.919928E-001 -0.464095       0.519527     
  1709.27        500.000       0.797502       0.735562E-004  0.194112       0.680759E-001 -0.246546E-001 -0.914906E-001 -0.464814       0.521196     
  1706.77        500.000       0.797475       0.785125E-004  0.193902       0.669337E-001 -0.235879E-001 -0.913587E-001 -0.466901       0.523458     
  1704.26        500.000       0.797447       0.902479E-004  0.193219       0.659439E-001 -0.225944E-001 -0.910306E-001 -0.468315       0.525240     
  1701.75        500.000       0.796730       0.894288E-004  0.193271       0.648387E-001 -0.214242E-001 -0.909905E-001 -0.470024       0.527510     
  1699.25        500.000       0.796036       0.812097E-004  0.192094       0.638301E-001 -0.201497E-001 -0.904280E-001 -0.470612       0.529148     
  1696.74        500.000       0.795523       0.783066E-004  0.192357       0.623626E-001 -0.187081E-001 -0.904661E-001 -0.473493       0.532346     
  1694.24        500.000       0.794452       0.104778E-003  0.191759       0.618358E-001 -0.179235E-001 -0.901624E-001 -0.473201       0.533135     
  1691.73        500.000       0.793646       0.849548E-004  0.189938       0.610272E-001 -0.167160E-001 -0.893306E-001 -0.472822       0.534172     
  1689.22        500.000       0.793884       0.868211E-004  0.190104       0.600231E-001 -0.159187E-001 -0.893724E-001 -0.475257       0.536449     
  1686.72        500.000       0.792091       0.104239E-003  0.189657       0.589291E-001 -0.144095E-001 -0.890818E-001 -0.475830       0.538540     
  1684.21        500.000       0.792687       0.918819E-004  0.188577       0.580985E-001 -0.136705E-001 -0.886102E-001 -0.477256       0.540082     
  1681.70        500.000       0.791876       0.896911E-004  0.187868       0.574517E-001 -0.128169E-001 -0.882613E-001 -0.477415       0.541208     
  1679.20        500.000       0.791368       0.953602E-004  0.187755       0.565598E-001 -0.118962E-001 -0.881644E-001 -0.478858       0.543141     
  1676.69        500.000       0.789874       0.957717E-004  0.187166       0.556562E-001 -0.106347E-001 -0.878315E-001 -0.479192       0.544867     
  1674.19        500.000       0.790690       0.919574E-004  0.186856       0.547829E-001 -0.100367E-001 -0.876927E-001 -0.481558       0.546866     
  1671.68        500.000       0.789608       0.100112E-003  0.186107       0.539188E-001 -0.889846E-002 -0.873060E-001 -0.482057       0.548528     
  1669.17        500.000       0.785882       0.111784E-003  0.183487       0.530695E-001 -0.681657E-002 -0.860390E-001 -0.479007       0.549313     
  1666.67        500.000       0.788260       0.921605E-004  0.184482       0.526167E-001 -0.723498E-002 -0.865271E-001 -0.482627       0.550938     
  1664.16        500.000       0.786861       0.916401E-004  0.183618       0.517806E-001 -0.603136E-002 -0.860826E-001 -0.482765       0.552527     
  1661.65        500.000       0.787121       0.100742E-003  0.183433       0.509070E-001 -0.531607E-002 -0.859779E-001 -0.484879       0.554611     
  1659.15        500.000       0.786106       0.102702E-003  0.182416       0.504607E-001 -0.457974E-002 -0.855006E-001 -0.484268       0.555264     
  1656.64        500.000       0.784992       0.978970E-004  0.181818       0.495672E-001 -0.343572E-002 -0.851751E-001 -0.485037       0.557172     
  1654.14        500.000       0.783552       0.920791E-004  0.181797       0.487038E-001 -0.233251E-002 -0.850849E-001 -0.485894       0.559167     
  1651.63        500.000       0.782515       0.108160E-003  0.180689       0.480868E-001 -0.141596E-002 -0.845597E-001 -0.485687       0.560263     
  1649.12        500.000       0.781182       0.128269E-003  0.180094       0.475228E-001 -0.562621E-003 -0.842449E-001 -0.485472       0.561354     
  1646.62        500.000       0.779781       0.109843E-003  0.177963       0.470569E-001  0.450862E-003 -0.832825E-001 -0.483842       0.561762     
  1644.11        500.000       0.780983       0.119484E-003  0.179991       0.459659E-001  0.814722E-003 -0.841315E-001 -0.489049       0.565306     
  1641.60        500.000       0.778678       0.110002E-003  0.177411       0.454666E-001  0.214459E-002 -0.829481E-001 -0.486476       0.565614     
  1639.10        500.000       0.777628       0.117199E-003  0.178077       0.446384E-001  0.299987E-002 -0.831607E-001 -0.488165       0.567865     
  1636.59        500.000       0.780637       0.981650E-004  0.178542       0.429022E-001  0.382986E-002 -0.833662E-001 -0.495681       0.573039     
  1634.09        500.000       0.775648       0.117119E-003  0.175986       0.435088E-001  0.466734E-002 -0.821711E-001 -0.487825       0.570069     
  1631.58        500.000       0.774547       0.127107E-003  0.174875       0.430323E-001  0.544234E-002 -0.816503E-001 -0.487289       0.570915     
  1629.07        500.000       0.773438       0.126323E-003  0.173853       0.425234E-001  0.623896E-002 -0.811649E-001 -0.486907       0.571892     
  1626.57        500.000       0.772277       0.124755E-003  0.173220       0.419102E-001  0.709360E-002 -0.808360E-001 -0.487066       0.573276     
  1624.06        500.000       0.771268       0.122093E-003  0.172806       0.414815E-001  0.769101E-002 -0.806147E-001 -0.486983       0.574230     
  1621.55        500.000       0.772711       0.116938E-003  0.173949       0.408637E-001  0.766822E-002 -0.811179E-001 -0.490618       0.576427     
