|6.6.6
Archiving\03_Data\DfracLP/QFM_m2.75/YM20/YM20_6.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  2000.00        500.000        8099.88     
  1997.49        500.000        8101.32     
  1994.99        500.000        8102.75     
  1992.48        500.000        8104.18     
  1989.97        500.000        8105.61     
  1987.47        500.000        8107.04     
  1984.96        500.000        8108.47     
  1982.46        500.000        8109.90     
  1979.95        500.000        8111.32     
  1977.44        500.000        8112.75     
  1974.94        500.000        8114.18     
  1972.43        500.000        8115.60     
  1969.92        500.000        8117.02     
  1967.42        500.000        8118.44     
  1964.91        500.000        8119.87     
  1962.41        500.000        8121.29     
  1959.90        500.000        8122.71     
  1957.39        500.000        8124.12     
  1954.89        500.000        8125.54     
  1952.38        500.000        8126.96     
  1949.87        500.000        8128.38     
  1947.37        500.000        8129.79     
  1944.86        500.000        8131.20     
  1942.36        500.000        8132.62     
  1939.85        500.000        8134.03     
  1937.34        500.000        8135.44     
  1934.84        500.000        8136.85     
  1932.33        500.000        8138.26     
  1929.82        500.000        8139.67     
  1927.32        500.000        8141.08     
  1924.81        500.000        8142.48     
  1922.31        500.000        8143.89     
  1919.80        500.000        8145.30     
  1917.29        500.000        3341.24     
  1914.79        500.000        3149.29     
  1912.28        500.000        3145.24     
  1909.77        500.000        3141.86     
  1907.27        500.000        3143.50     
  1904.76        500.000        3144.49     
  1902.26        500.000        3146.02     
  1899.75        500.000        3147.72     
  1897.24        500.000        3149.18     
  1894.74        500.000        3151.13     
  1892.23        500.000        3152.30     
  1889.72        500.000        3153.68     
  1887.22        500.000        3153.15     
  1884.71        500.000        3169.26     
  1882.21        500.000        3180.48     
  1879.70        500.000        3182.27     
  1877.19        500.000        3183.69     
  1874.69        500.000        3185.48     
  1872.18        500.000        3186.52     
  1869.67        500.000        3188.62     
  1867.17        500.000        3190.98     
  1864.66        500.000        3192.01     
  1862.16        500.000        3193.20     
  1859.65        500.000        3195.35     
  1857.14        500.000        3196.66     
  1854.64        500.000        3197.86     
  1852.13        500.000        3199.31     
  1849.62        500.000        3201.21     
  1847.12        500.000        3203.29     
  1844.61        500.000        3204.29     
  1842.11        500.000        3207.13     
  1839.60        500.000        3208.31     
  1837.09        500.000        3210.34     
  1834.59        500.000        3211.52     
  1832.08        500.000        3214.20     
  1829.57        500.000        3215.10     
  1827.07        500.000        3216.67     
  1824.56        500.000        3218.31     
  1822.06        500.000        3219.71     
  1819.55        500.000        3221.55     
  1817.04        500.000        3223.25     
  1814.54        500.000        3225.50     
  1812.03        500.000        3227.46     
  1809.52        500.000        3228.34     
  1807.02        500.000        3230.47     
  1804.51        500.000        3231.97     
  1802.01        500.000        3233.43     
  1799.50        500.000        3235.06     
  1796.99        500.000        3236.49     
  1794.49        500.000        3238.83     
  1791.98        500.000        3240.08     
  1789.47        500.000        3242.07     
  1786.97        500.000        3243.07     
  1784.46        500.000        3244.91     
  1781.95        500.000        3246.42     
  1779.45        500.000        3248.27     
  1776.94        500.000        3249.38     
  1774.44        500.000        3251.44     
  1771.93        500.000        3253.54     
