|6.6.6
Archiving\03_Data\DfracLP/QFM_m5/T13/T13_6.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  2000.00        500.000        7272.78     
  1997.49        500.000        7273.87     
  1994.99        500.000        7274.96     
  1992.48        500.000        7276.04     
  1989.97        500.000        7277.13     
  1987.47        500.000        7278.21     
  1984.96        500.000        7279.30     
  1982.46        500.000        7280.38     
  1979.95        500.000        7281.46     
  1977.44        500.000        7282.54     
  1974.94        500.000        7283.62     
  1972.43        500.000        7284.70     
  1969.92        500.000        7285.78     
  1967.42        500.000        7286.86     
  1964.91        500.000        7287.94     
  1962.41        500.000        7289.02     
  1959.90        500.000        7290.09     
  1957.39        500.000        7291.17     
  1954.89        500.000        7292.24     
  1952.38        500.000        7293.32     
  1949.87        500.000        7294.39     
  1947.37        500.000        7295.47     
  1944.86        500.000        7296.54     
  1942.36        500.000        7297.61     
  1939.85        500.000        7298.68     
  1937.34        500.000        7299.75     
  1934.84        500.000        7300.82     
  1932.33        500.000        7301.89     
  1929.82        500.000        7302.96     
  1927.32        500.000        7304.02     
  1924.81        500.000        7305.09     
  1922.31        500.000        7306.16     
  1919.80        500.000        7307.22     
  1917.29        500.000        7308.29     
  1914.79        500.000        7014.51     
  1912.28        500.000        3134.72     
  1909.77        500.000        3117.15     
  1907.27        500.000        3115.32     
  1904.76        500.000        3119.02     
  1902.26        500.000        3118.73     
  1899.75        500.000        3118.34     
  1897.24        500.000        3118.64     
  1894.74        500.000        3118.80     
  1892.23        500.000        3119.12     
  1889.72        500.000        3119.28     
  1887.22        500.000        3119.55     
  1884.71        500.000        3119.48     
  1882.21        500.000        3120.01     
  1879.70        500.000        3127.94     
  1877.19        500.000        3131.31     
  1874.69        500.000        3122.40     
  1872.18        500.000        3130.80     
  1869.67        500.000        3125.48     
  1867.17        500.000        3125.95     
  1864.66        500.000        3126.85     
  1862.16        500.000        3128.43     
  1859.65        500.000        3254.88     
  1857.14        500.000        3130.46     
  1854.64        500.000        3131.80     
  1852.13        500.000        3132.71     
  1849.62        500.000        3134.28     
  1847.12        500.000        3134.83     
  1844.61        500.000        3136.84     
  1842.11        500.000        3137.42     
  1839.60        500.000        3138.23     
  1837.09        500.000        3138.85     
  1834.59        500.000        3151.63     
  1832.08        500.000        3141.69     
  1829.57        500.000        3142.91     
  1827.07        500.000        3144.70     
  1824.56        500.000        3145.86     
  1822.06        500.000        3145.24     
  1819.55        500.000        3149.20     
  1817.04        500.000        3154.55     
  1814.54        500.000        3177.61     
  1812.03        500.000        3178.86     
  1809.52        500.000        3180.45     
  1807.02        500.000        3181.35     
  1804.51        500.000        3182.60     
  1802.01        500.000        3183.44     
  1799.50        500.000        3184.76     
  1796.99        500.000        3185.68     
  1794.49        500.000        3186.97     
  1791.98        500.000        3188.05     
  1789.47        500.000        3189.99     
  1786.97        500.000        3190.13     
  1784.46        500.000        3191.62     
  1781.95        500.000        3192.39     
  1779.45        500.000        3194.39     
  1776.94        500.000        3195.29     
  1774.44        500.000        3195.73     
  1771.93        500.000        3196.94     
  1769.42        500.000        3198.69     
  1766.92        500.000        3199.30     
  1764.41        500.000        3200.43     
  1761.90        500.000        3201.27     
  1759.40        500.000        3202.97     
  1756.89        500.000        3203.75     
  1754.39        500.000        3205.45     
  1751.88        500.000        3205.47     
  1749.37        500.000        3206.48     
  1746.87        500.000        3208.10     
  1744.36        500.000        3209.00     
  1741.85        500.000        3209.58     
  1739.35        500.000        3209.37     
  1736.84        500.000        4363.19     
  1734.34        500.000        3203.84     
  1731.83        500.000        2837.51     
  1729.32        500.000        3214.79     
  1726.82        500.000        3215.91     
  1724.31        500.000        3217.51     
  1721.80        500.000        3217.81     
  1719.30        500.000        3218.93     
  1716.79        500.000        3220.42     
  1714.29        500.000        3221.09     
  1711.78        500.000        3222.03     
  1709.27        500.000        3223.05     
  1706.77        500.000        3223.49     
  1704.26        500.000        3224.95     
  1701.75        500.000        3225.69     
  1699.25        500.000        3223.22     
  1696.74        500.000        3233.45     
  1694.24        500.000        3228.58     
  1691.73        500.000        3229.41     
  1689.22        500.000        3230.62     
  1686.72        500.000        3231.03     
  1684.21        500.000        3232.88     
  1681.70        500.000        3234.31     
  1679.20        500.000        3233.96     
  1676.69        500.000        3234.13     
  1674.19        500.000        3235.67     
  1671.68        500.000        3236.01     
  1669.17        500.000        3238.20     
  1666.67        500.000        3238.32     
  1664.16        500.000        3238.89     
  1661.65        500.000        3238.29     
  1659.15        500.000        3240.65     
  1656.64        500.000        3241.60     
  1654.14        500.000        3242.85     
  1651.63        500.000        3176.68     
  1649.12        500.000        3176.25     
  1646.62        500.000        3171.15     
  1644.11        500.000        3177.08     
  1641.60        500.000        3177.81     
  1639.10        500.000        3177.85     
  1636.59        500.000        3178.46     
  1634.09        500.000        3179.04     
  1631.58        500.000        3179.44     
  1629.07        500.000        3179.93     
  1626.57        500.000        3180.39     
  1624.06        500.000        3180.64     
  1621.55        500.000        3181.11     
  1619.05        500.000        3180.54     
  1616.54        500.000        3182.71     
  1614.04        500.000        3182.38     
  1611.53        500.000        3182.96     
  1609.02        500.000        3183.28     
  1606.52        500.000        3181.69     
  1604.01        500.000        3184.31     
  1601.50        500.000        3184.45     
  1599.00        500.000        3181.78     
  1596.49        500.000        3184.55     
  1593.98        500.000        3186.45     
  1591.48        500.000        3184.78     
  1588.97        500.000        3187.11     
  1586.47        500.000        3187.45     
  1583.96        500.000        3187.75     
  1581.45        500.000        3187.84     
  1578.95        500.000        3188.62     
  1576.44        500.000        3188.89     
  1573.93        500.000        3189.47     
  1571.43        500.000        3191.19     
  1568.92        500.000        3189.74     
  1566.42        500.000        3190.74     
  1563.91        500.000        3191.65     
  1561.40        500.000        3193.23     
  1558.90        500.000        3192.44     
  1556.39        500.000        3192.51     
  1553.88        500.000        3193.50     
  1551.38        500.000        3193.49     
  1548.87        500.000        3193.91     
  1546.37        500.000        3193.63     
  1543.86        500.000        3194.65     
  1541.35        500.000        3195.71     
  1538.85        500.000        3196.24     
  1536.34        500.000        3197.05     
  1533.83        500.000        3197.72     
  1531.33        500.000        3197.82     
  1528.82        500.000        3199.15     
  1526.32        500.000        3199.63     
  1523.81        500.000        3200.28     
  1521.30        500.000        3200.29     
  1518.80        500.000        3201.06     
  1516.29        500.000        3201.81     
  1513.78        500.000        3194.65     
  1511.28        500.000        3191.41     
  1508.77        500.000        3192.87     
  1506.27        500.000        3193.79     
  1503.76        500.000        3195.14     
  1501.25        500.000        3196.29     
  1498.75        500.000        3196.72     
  1496.24        500.000        3198.20     
  1493.73        500.000        3199.57     
  1491.23        500.000        3200.71     
  1488.72        500.000        3200.12     
  1486.22        500.000        3199.63     
  1483.71        500.000        3201.11     
  1481.20        500.000        3202.35     
  1478.70        500.000        3203.99     
  1476.19        500.000        3205.28     
  1473.68        500.000        3206.84     
  1471.18        500.000        3208.31     
  1468.67        500.000        3209.88     
  1466.17        500.000        3211.39     
  1463.66        500.000        3212.92     
  1461.15        500.000        3214.28     
  1458.65        500.000        3215.89     
  1456.14        500.000        3122.92     
  1453.63        500.000        3055.72     
  1451.13        500.000        3057.49     
  1448.62        500.000        3059.41     
  1446.12        500.000        3061.28     
  1443.61        500.000        3063.08     
  1441.10        500.000        3064.67     
  1438.60        500.000        3066.47     
  1436.09        500.000        3068.37     
  1433.58        500.000        3070.04     
  1431.08        500.000        3071.82     
  1428.57        500.000        3073.46     
  1426.07        500.000        3075.37     
  1423.56        500.000        3076.88     
  1421.05        500.000        3078.64     
  1418.55        500.000        3080.35     
  1416.04        500.000        3081.99     
  1413.53        500.000        3083.71     
  1411.03        500.000        3085.33     
  1408.52        500.000        3087.09     
  1406.02        500.000        3088.88     
